title,avg_rating,Class
"Jahr des Tigers",5.6,"One-time-watch movie"
"Jai mat ze moon",5.2,"One-time-watch movie"
Jang-san-beom,5.5,"One-time-watch movie"
Jasmine,5.7,"One-time-watch movie"
"Jasper Jones",6.6,"One-time-watch movie"
Jawaan,4.7,"Flop movie"
"Jekyll Island",4.2,"Flop movie"
Jessie,7.2,"Hit movie"
"Ji qi zhi xue",5.2,"One-time-watch movie"
Jigsaw,5.8,"One-time-watch movie"
Jiivi,7.9,"Hit movie"
Joel,4.3,"Flop movie"
"John Wick: Chapter 2",7.5,"Hit movie"
"John Wick: Chapter 3 - Parabellum",7.6,"Hit movie"
Joker,8.8,"Superhit movie"
Joseph,8.2,"Superhit movie"
